id,date_ouverture,date_resolution,type_incident,severite,statut,temps_resolution_heures,systeme_affecte,est_resolu,semaine_ouverture,sla_cible_jours,jours_ouverture,sla_respecte,sla_actuellement_depasse
INC-0020,2025-09-01 21:13:00,2025-09-02 20:35:00,malware,moyenne,fermé,23.4,Serveur de fichiers (OI-6965),True,2025-09-01,5,0.97,True,False
INC-0010,2025-09-02 11:31:00,2025-09-03 16:20:00,malware,moyenne,fermé,28.8,Serveur applicatif (TE-9593),True,2025-09-01,5,1.2,True,False
INC-0051,2025-09-08 11:48:00,2025-09-08 13:12:00,accès non autorisé,faible,fermé,1.4,Active Directory (DD-9805),True,2025-09-08,10,0.06,True,False
INC-0094,2025-09-08 14:35:00,2025-09-08 18:49:00,phishing,faible,fermé,4.2,Messagerie (TS-7693),True,2025-09-08,10,0.18,True,False
INC-0114,2025-09-08 16:59:00,,malware,moyenne,en cours,,Serveur applicatif (VW-5375),False,2025-09-08,5,357.29,,True
INC-0147,2025-09-10 11:15:00,2025-09-10 13:03:00,autre,faible,fermé,1.8,Application interne (HE-2047),True,2025-09-08,10,0.08,True,False
INC-0159,2025-09-11 14:47:00,2025-09-13 02:35:00,malware,moyenne,fermé,35.8,Poste de travail (DK-2421),True,2025-09-08,5,1.49,True,False
INC-0061,2025-09-12 05:30:00,2025-09-12 16:01:00,phishing,moyenne,fermé,10.5,Messagerie (IT-5427),True,2025-09-08,5,0.44,True,False
INC-0199,2025-09-14 04:44:00,2025-09-14 06:43:00,malware,faible,fermé,2.0,Poste de travail (EC-7482),True,2025-09-08,10,0.08,True,False
INC-0053,2025-09-14 11:58:00,2025-09-20 01:27:00,malware,élevée,fermé,133.5,Poste de travail (ME-8121),True,2025-09-08,3,5.56,False,False
INC-0165,2025-09-19 11:36:00,2025-09-20 20:12:00,accès non autorisé,moyenne,fermé,32.6,Application RH (RL-2787),True,2025-09-15,5,1.36,True,False
INC-0126,2025-09-20 03:45:00,2025-09-21 04:21:00,accès non autorisé,moyenne,fermé,24.6,Active Directory (GB-5067),True,2025-09-15,5,1.02,True,False
INC-0149,2025-09-20 07:28:00,2025-09-21 16:18:00,malware,moyenne,fermé,32.8,Serveur applicatif (TF-0229),True,2025-09-15,5,1.37,True,False
INC-0136,2025-09-22 22:36:00,2025-09-23 01:48:00,accès non autorisé,faible,fermé,3.2,Base de données clients (SO-7701),True,2025-09-22,10,0.13,True,False
INC-0062,2025-09-27 07:30:00,2025-09-27 22:05:00,déni de service,moyenne,fermé,14.6,Infrastructure réseau (QJ-4980),True,2025-09-22,5,0.61,True,False
INC-0169,2025-09-30 00:03:00,2025-09-30 04:09:00,phishing,faible,fermé,4.1,Poste de travail (QU-0715),True,2025-09-29,10,0.17,True,False
INC-0004,2025-09-30 02:44:00,2025-10-02 18:20:00,phishing,moyenne,fermé,63.6,Poste de travail (AO-0838),True,2025-09-29,5,2.65,True,False
INC-0143,2025-10-02 01:39:00,2025-10-07 01:02:00,déni de service,critique,fermé,119.4,Site web public (LT-3435),True,2025-09-29,1,4.97,False,False
INC-0040,2025-10-03 04:09:00,2025-10-03 09:58:00,phishing,moyenne,fermé,5.8,Messagerie (GQ-7631),True,2025-09-29,5,0.24,True,False
INC-0043,2025-10-04 14:02:00,2025-10-04 19:09:00,phishing,moyenne,fermé,5.1,Poste de travail (IC-1333),True,2025-09-29,5,0.21,True,False
INC-0028,2025-10-08 17:16:00,2025-10-09 01:59:00,malware,faible,fermé,8.7,Serveur applicatif (MU-2880),True,2025-10-06,10,0.36,True,False
INC-0104,2025-10-13 20:23:00,2025-10-15 17:02:00,malware,critique,fermé,44.7,Serveur applicatif (EA-3623),True,2025-10-13,1,1.86,False,False
INC-0012,2025-10-15 04:48:00,,malware,élevée,en cours,,Serveur applicatif (KX-6475),False,2025-10-13,3,320.8,,True
INC-0121,2025-10-17 23:40:00,2025-10-18 15:27:00,autre,moyenne,fermé,15.8,Poste de travail (LB-1241),True,2025-10-13,5,0.66,True,False
INC-0029,2025-10-20 10:26:00,2025-10-20 13:48:00,accès non autorisé,faible,fermé,3.4,Active Directory (ZT-7015),True,2025-10-20,10,0.14,True,False
INC-0035,2025-10-24 22:24:00,2025-10-25 16:08:00,autre,moyenne,fermé,17.7,Serveur applicatif (BL-3315),True,2025-10-20,5,0.74,True,False
INC-0056,2025-10-25 00:07:00,2025-10-25 21:44:00,accès non autorisé,élevée,fermé,21.6,Active Directory (QN-9985),True,2025-10-20,3,0.9,True,False
INC-0082,2025-10-25 00:16:00,2025-10-26 18:08:00,phishing,moyenne,fermé,41.9,Poste de travail (TB-9340),True,2025-10-20,5,1.74,True,False
INC-0065,2025-10-27 05:56:00,2025-10-28 03:03:00,autre,moyenne,fermé,21.1,Poste de travail (FQ-5348),True,2025-10-27,5,0.88,True,False
INC-0163,2025-10-29 03:39:00,2025-10-29 05:47:00,phishing,faible,fermé,2.1,Portail webmail (FO-5940),True,2025-10-27,10,0.09,True,False
INC-0016,2025-10-30 03:54:00,2025-10-30 06:48:00,accès non autorisé,faible,fermé,2.9,Active Directory (ZR-0305),True,2025-10-27,10,0.12,True,False
INC-0068,2025-10-30 08:37:00,2025-10-30 16:41:00,phishing,faible,fermé,8.1,Portail webmail (HE-8680),True,2025-10-27,10,0.34,True,False
INC-0067,2025-11-05 01:47:00,,phishing,moyenne,en cours,,Messagerie (VC-5242),False,2025-11-03,5,299.93,,True
INC-0049,2025-11-05 07:57:00,2025-11-06 10:23:00,malware,moyenne,fermé,26.4,Poste de travail (QT-7468),True,2025-11-03,5,1.1,True,False
INC-0085,2025-11-08 19:11:00,2025-11-09 02:28:00,malware,faible,fermé,7.3,Serveur de fichiers (UZ-4846),True,2025-11-03,10,0.3,True,False
